,Title,Published_date,Views,likes,Comments
0,Black Hole Star – The Star That Shouldn't Exist,2022-12-15,4993247,273763,11939
1,How To Terraform Mars - WITH LASERS,2022-12-11,4202035,210288,12693
2,The Horror of the Slaver Ant,2022-12-06,4741826,246697,9207
3,The Most Extreme Explosion in the Universe,2022-11-23,4920867,213641,8184
4,Why Don't We Shoot Nuclear Waste Into Space?,2022-11-08,6939920,341113,16516
5,What Happens if a Supervolcano Blows Up?,2022-10-18,5601818,243982,6986
6,HIDDEN WORLDS - Limited Edition Calendar!,2022-10-11,627276,31561,1138
7,Let’s Travel to The Most Extreme Place in The Universe,2022-10-04,7841000,441905,14027
8,Why You Are Lonely and How to Make Friends,2022-09-06,4722831,270022,15866
9,Is Civilization on the Brink of Collapse?,2022-08-16,8223854,361021,25596
10,The Deadliest Virus on Earth,2022-07-26,10231149,368604,17727
11,The Last Human – A Glimpse Into The Far Future,2022-06-28,8196357,447035,19893
12,Change Your Life – One Tiny Step at a Time,2022-06-07,6846322,453739,11187
13,You Are Not Where You Think You Are,2022-05-17,7260976,363183,14556
14,The Most Horrible Parasite: Brain Eating Amoeba,2022-05-03,7331972,358827,17794
15,We WILL Fix Climate Change!,2022-04-05,9648558,586705,42631
16,Are There Lost Alien Civilizations in Our Past?,2022-03-01,10835750,419243,17035
17,What Happens if the Moon Crashes into Earth?,2022-02-08,14715751,489116,26697
18,Why We Should NOT Look For Aliens - The Dark Forest,2021-12-14,13169733,589556,29404
19,...And We'll Do it Again,2021-12-07,10985563,648503,25320
20,Is Meat Really that Bad?,2021-11-30,7088409,379588,44410
21,You Are Immune Against Every Disease,2021-11-02,14211403,501696,24613
22,The Limited Edition Dinosaur Calendar – Now And Then Never Again,2021-10-19,835792,38798,1618
23,What Dinosaurs ACTUALLY Looked Like?,2021-10-12,11296638,526086,20684
24,Two Chapters From Our New Book – Exclusive Preview!,2021-09-28,1946363,83211,4361
25,Can YOU Fix Climate Change?,2021-09-22,12497882,700103,63933
26,This Virus Shouldn't Exist (But it Does),2021-08-31,19413104,559648,20671
27,How The Immune System ACTUALLY Works – IMMUNE,2021-08-10,19261636,540072,30145
28,The Largest Black Hole in the Universe - Size Comparison,2021-08-03,22603880,651336,35403
29,How To Terraform Venus (Quickly),2021-07-06,15727714,518743,38635
30,The Day the Dinosaurs Died – Minute by Minute,2021-06-15,16913663,654632,37563
31,What Are You Doing With Your Life? The Tail End,2021-05-25,8939755,612130,41979
32,TRUE Limits Of Humanity – The Final Border We Will Never Cross,2021-05-11,18763398,825319,44698
33,What If You Fall into a Black Hole?,2021-04-27,13293991,432356,19472
34,Do we Need Nuclear Energy to Stop Climate Change?,2021-04-13,7962904,311071,26234
35,What if the World turned to Gold? - The Gold Apocalypse,2021-03-09,11820155,516838,32347
36,Worst Nuclear Accidents in History,2021-02-02,9078341,392923,30499
37,What if We Nuke the Moon?,2020-12-15,16249975,647116,35385
38,Can You Upload Your Mind & Live Forever?,2020-12-10,10980864,493001,36375
39,What If Earth got Kicked Out of the Solar System? Rogue Earth,2020-12-01,15995241,505209,31541
40,How Large Can a Bacteria get? Life & Size 3,2020-11-10,9370838,331872,11345
41,Geoengineering: A Horrible Idea We Might Have to Do,2020-10-27,9658138,390697,24692
42,"The 12,021 Human Era Calendar",2020-10-11,1825169,98763,4821
43,When Time Became History - The Human Era,2020-10-06,8511243,400305,18548
44,"Is It Too Late To Stop Climate Change? Well, it's Complicated.",2020-09-29,6705447,377528,42917
45,The Largest Star in the Universe – Size Comparison,2020-09-22,29847847,754975,40541
46,The Warrior Kingdoms of the Weaver Ant,2020-08-30,8658049,349834,19801
47,Unlimited Resources From Space – Asteroid Mining,2020-08-16,9337176,396095,29397
48,What Do Alien Civilizations Look Like? The Kardashev Scale,2020-08-02,18677276,591414,33876
49,What Is Intelligence? Where Does it Begin?,2020-07-12,9751318,390846,16827
50,Who Is Responsible For Climate Change? – Who Needs To Fix It?,2020-06-21,9515079,390438,46549
51,Could Solar Storms Destroy Civilization? Solar Flares & Coronal Mass Ejections,2020-06-07,12930585,444065,22998
52,The Past We Can Never Return To – The Anthropocene Reviewed,2020-05-24,8010167,466009,14436
53,"Why Are You Alive – Life, Energy & ATP",2020-05-10,10018443,421721,26222
54,The Coronavirus Explained & What You Should Do,2020-03-19,87828635,1170926,73036
55,Why Blue Whales Don't Get Cancer - Peto's Paradox,2020-03-01,21936541,832619,21771
56,How to Make a Kurzgesagt Video in 1200 Hours,2020-02-16,7443660,546407,18816
57,Milk. White Poison or Healthy Drink?,2020-01-26,18371032,606836,46981
58,How to Move the Sun: Stellar Engines,2019-12-22,15962862,536173,31372
59,Overpopulation & Africa,2019-12-15,8941316,307801,23310
60,An Antidote to Dissatisfaction,2019-12-08,13723176,726665,25609
61,"1,000km Cable to the Stars - The Skyhook",2019-11-17,11011061,392741,24125
62,Neutron Stars – The Most Extreme Things that are not Black Holes,2019-11-10,17491980,489526,18443
63,"The 12,020 Human SPACE Era Calendar 🚀",2019-11-03,1328898,61514,2985
64,What if We Nuke a City?,2019-10-13,26002357,839769,79979
65,The Billion Ant Mega Colony and the Biggest War on Earth,2019-09-29,17509119,468467,26406
66,What’s Hiding at the Most Solitary Place on Earth? The Deep Sea,2019-09-15,19622407,572472,22164
67,The Egg - A Short Story,2019-09-01,27493928,1760849,176712
68,The World War of the Ants – The Army Ant,2019-08-11,20121332,550070,26425
69,Tiny Bombs in your Blood - The Complement System,2019-07-28,10680280,437868,16404
70,Could Your Phone Hurt You? Electromagnetic Pollution,2019-07-07,7090743,261040,13532
71,Is Meat Bad for You? Is Meat Unhealthy?,2019-06-09,12257317,416664,38267
72,Is the EU Democratic? Does Your Vote Matter?,2019-05-19,5117394,201385,20939
73,The Side Effects of Vaccines - How High is the Risk?,2019-05-12,15613756,651435,134069
74,The Most Dangerous Stuff in the Universe - Strange Stars Explained,2019-04-14,19814988,479135,21722
75,What If We Detonated All Nuclear Bombs at Once?,2019-03-31,28276659,1058318,52588
76,The Origin of Consciousness – How Unaware Things Became Aware,2019-03-17,15616765,479799,24393
77,Can You Trust Kurzgesagt Videos?,2019-03-03,6753678,530712,32275
78,Loneliness,2019-02-17,24229759,1160599,74869
79,Building a Marsbase is a Horrible Idea: Let’s do it!,2019-02-03,19041981,433996,27102
80,Is Organic Really Better? Healthy Food or Trendy Scam?,2019-01-13,10887197,337972,20780
81,Aliens under the Ice – Life on Rogue Planets,2018-12-27,12969098,341880,11412
82,How to Build a Dyson Sphere - The Ultimate Megastructure,2018-12-20,20219509,555404,40441
83,End of Space – Creating a Prison for Humanity,2018-11-25,13509923,356225,18660
84,"The 12,019 Calendar IS HERE – A new calendar for humanity",2018-10-30,1363343,52216,3313
85,Why Beautiful Things Make us Happy – Beauty Explained,2018-10-23,9420697,387735,13844
86,Why Meat is the Best Worst Thing in the World 🍔,2018-09-30,12127172,471250,78123
87,How We Could Build a Moon Base TODAY – Space Colonization 1,2018-09-16,15412695,389653,32968
88,Wormholes Explained – Breaking Spacetime,2018-08-12,22097715,528556,23981
89,What If You Detonated a Nuclear Bomb In The Marianas Trench? (Science not Fantasy),2018-07-22,31392345,682971,29417
90,Plastic Pollution: How Humans are Turning the World into Plastic,2018-07-01,8793912,278986,14554
91,3 Arguments Why Marijuana Should Stay Illegal Reviewed,2018-06-10,15129661,620254,65541
92,The Deadliest Being on Planet Earth – The Bacteriophage,2018-05-13,30862768,765408,52931
93,The Black Hole Bomb and Black Hole Civilizations,2018-04-22,26333123,575955,26529
94,Time: The History & Future of Everything – Remastered,2018-04-08,9579485,365439,20432
95,A Selfish Argument for Making the World a Better Place – Egoistic Altruism,2018-03-18,10576527,409918,26329
96,String Theory Explained – What is The True Nature of Reality?,2018-03-01,22150133,639012,22573
97,Homeopathy Explained – Gentle Healing or Reckless Fraud?,2018-02-22,10734689,349141,28526
98,Why Alien Life Would be our Doom - The Great Filter,2018-02-01,25027173,606195,46768
99,How to Make an Elephant Explode – The Size of Life 2,2017-12-21,8354944,256984,11456
100,Universal Basic Income Explained – Free Money for Everybody? UBI,2017-12-07,10058143,364753,47844
101,Emergence – How Stupid Things Become Smart Together,2017-11-16,8486808,285241,14031
102,How to Cure Aging – During Your Lifetime?,2017-11-03,7538179,257731,13895
103,Why Age? Should We End Aging Forever?,2017-10-20,8432558,269990,29736
104,"The Year 12,018 Calendar IS OUT NOW – A new calendar for humanity",2017-10-10,1630814,55960,3221
105,How Bacteria Rule Over Your Body – The Microbiome,2017-10-05,9168308,253268,11472
106,Is Reality Real? The Simulation Argument,2017-09-21,20044750,511139,51345
107,What Happens If We Bring the Sun to Earth?,2017-09-07,11633754,270563,11463
108,Why Black Holes Could Delete The Universe – The Information Paradox,2017-08-24,26825519,512882,32064
109,What Happens If We Throw an Elephant From a Skyscraper? Life & Size 1,2017-08-10,17363861,438823,18907
110,Optimistic Nihilism,2017-07-26,15950490,898003,54054
111,The Rise of the Machines – Why Automation is Different this Time,2017-06-08,13653584,398408,30297
112,The Last Light Before Eternal Darkness – White Dwarfs & Black Dwarfs,2017-05-04,14311644,342922,19077
113,Is the European Union Worth It Or Should We End It?,2017-04-13,7608629,286151,44848
114,Are GMOs Good or Bad? Genetic Engineering & Our Food,2017-03-30,12293259,418684,36323
115,Do Robots Deserve Rights? What if Machines Become Conscious?,2017-02-23,7541283,226417,31085
116,Why Earth Is A Prison and How To Escape It,2017-02-01,11633659,310630,19608
117,Overpopulation – The Human Explosion Explained,2016-12-22,13016298,388741,29356
118,A New History for Humanity – The Human Era,2016-12-07,9565049,356081,25766
119,The Most Gruesome Parasites – Neglected Tropical Diseases – NTDs,2016-11-30,12375148,358367,13151
120,Fusion Power Explained – Future or Failure,2016-11-10,13208837,354746,16573
121,The Most Efficient Way to Destroy the Universe – False Vacuum,2016-10-21,15095006,417260,18191
122,Genetic Engineering and Diseases – Gene Drive & Malaria,2016-09-21,9069053,231825,20083
123,Genetic Engineering Will Change Everything Forever – CRISPR,2016-08-10,28225044,619541,72677
124,Death From Space — Gamma-Ray Bursts Explained,2016-07-31,13564032,305376,17875
125,What Happened Before History? Human Origins,2016-06-23,20641014,542495,48293
126,What Are You?,2016-05-31,14408797,362930,20690
127,How Far Can We Go? Limits of Humanity (Old Version – Watch the New One),2016-05-12,17904636,419577,31312
