,Title,Published_date,Views,likes,Comments
0,What If the James Webb Telescope Found Alien Life? #Shorts,2022-12-31,11903,934,25
1,What If There's Life on Kepler 69c?,2022-12-30,55744,1788,213
2,What If You Never Threw Anything Away? #Shorts,2022-12-29,21905,1299,28
3,What If Earth Orbited Jupiter?,2022-12-28,102084,2794,288
4,What If the Oceans Were Made of Gasoline? #Shorts,2022-12-27,28710,1700,42
5,The Best What If Scenarios of 2022,2022-12-27,47391,1442,59
6,What If Your Body Could Be Recycled? #Shorts,2022-12-24,31325,1666,27
7,What If the Universe Is Conscious?,2022-12-23,139440,4691,730
8,What If You Jumped Into a Pool of Bromine? #Shorts,2022-12-22,30385,1659,20
9,Scientists Discovered Planets Even Better for Life Than Earth,2022-12-21,1552581,8177,1202
10,What If You Traveled to Uranus? #Shorts,2022-12-20,30674,1951,83
11,What If an Ice Tsunami Hit the United States? #Shorts,2022-12-17,41735,2437,54
12,What If Earth Was As Small as Pluto?,2022-12-16,103354,3171,243
13,What If Mullaperiyar Dam Suddenly Collapsed? #Shorts,2022-12-15,36037,2408,133
14,Avatar’s Pandora in Real Life is Terrifying,2022-12-14,247761,7842,329
15,What If You Ate 100 Hot Dogs In One Day? #Shorts,2022-12-13,37843,1956,49
16,What If We Knew What Would Happen in the Next 100 Years? #Shorts,2022-12-10,368147,32521,324
17,What If Humans Suddenly Went Extinct?,2022-12-09,135847,4349,409
18,What If You Were Injected With Graphene? #Shorts,2022-12-08,1254718,82711,502
19,What If Earth Reached Boiling Point for 5 Seconds?,2022-12-07,70682,2269,158
20,What If Earth Was a Massive Global City? #Shorts,2022-12-06,41470,2394,110
21,What If You Lit a Match on Jupiter? #Shorts,2022-12-03,1207151,105595,803
22,What If You Traveled Through a Black Hole?,2022-12-02,161057,4986,442
23,What If Your Brain Stopped Working for 5 Seconds? #Shorts,2022-12-01,442167,45826,295
24,What If Earth’s Population Lived in the Same Skyscraper?,2022-11-30,141296,2946,337
25,What If We Drilled Through a Volcano? #Shorts,2022-11-29,76164,6793,53
26,What If There Were an Alien Civilisation on Proxima b? #Shorts,2022-11-26,618243,60364,387
27,What If You Crashed on an Alien Planet?,2022-11-25,124835,3451,231
28,What If These 3 Things Disappeared for 5 Seconds? #Shorts,2022-11-24,3056074,246720,1329
29,Top 10 Events That Will End the World,2022-11-23,548266,7496,759
30,Top 3 Worst Things You Could Eat #Shorts,2022-11-22,70612,3674,86
31,What If Humans Had a Mating Season? #Shorts,2022-11-19,1449664,78824,675
32,What If the Moon Orbited Earth Faster?,2022-11-18,89620,2676,288
33,What If We Woke Up Volcanoes to Fight Climate Change? #Shorts,2022-11-17,140863,11761,109
34,What If Earth Was a Spaceship?,2022-11-16,61727,1876,163
35,What If You Were Raised by Wild Animals? #Shorts,2022-11-15,97021,7844,54
36,What If the World Lost Oxygen for an Hour? #Shorts,2022-11-12,2448399,204359,2230
37,What If All Underwater Volcanoes Erupted?,2022-11-11,96656,2512,150
38,Top 5 Extinct Creatures #Shorts,2022-11-10,74302,5098,101
39,What If Lizard People Ruled the World?,2022-11-09,52899,1623,365
40,Top 3 Coolest Space Megastructures #Shorts,2022-11-08,104407,7809,102
41,What If All the World's Ice Melted? #Shorts,2022-11-05,389892,45318,294
42,What If We Nuked Jupiter?,2022-11-04,587552,10159,1063
43,Top What If Scenarios Recap,2022-11-03,237547,2959,210
44,What If Everyone Farted at the Same Time? #Shorts,2022-11-03,799701,38543,460
45,What If Cthulhu Was Real?,2022-11-02,96620,3318,465
46,What If You Could Melt Metal With Your Hands? #Shorts,2022-11-01,317542,22002,112
47,What If Earth Gradually Came to a Standstill?,2022-10-30,473300,7397,547
48,What If We Sent All Trash Into the Sun? #Shorts,2022-10-28,85450,5359,66
49,What If You Wore 100 Layers of Makeup? #Shorts,2022-10-27,3101801,146146,664
50,What If Jupiter Collided With Earth?,2022-10-26,234346,5047,488
51,What If You Were Attacked by a Megalodon? #shorts,2022-10-26,112951,8864,109
52,What If Aliens Lived on The Moon?,2022-10-22,69031,2174,177
